u,kappa_numeric,kappa_2mode,relative_error,omega_c_over_Kc,k_c_over_K
0.8,0.0149907158654386,0.014999999999999998,-0.0006189423040932341,0.09999999999999998,-0.09999999999999998
0.85,0.0131571574467889,0.013169567191065927,-0.0009423046404627074,0.07500000000000001,-0.07500000000000001
0.9,0.0108799086395647,0.010897247358851683,-0.0015911100038395317,0.04999999999999999,-0.04999999999999999
0.92,0.00977760176215239,0.009797958971132711,-0.0020776989412079386,0.03999999999999998,-0.03999999999999998
0.94,0.00850473566218009,0.008529361054615993,-0.002887132140170872,0.030000000000000027,-0.030000000000000027
0.95,0.00777867047052535,0.007806247497997999,-0.003532686797301979,0.025000000000000022,-0.025000000000000022
0.96,0.00696852132869542,0.007000000000000001,-0.004496953043511583,0.020000000000000018,-0.020000000000000018
0.98,0.00492904091039147,0.004974937185533105,-0.009225498419376955,0.010000000000000009,-0.010000000000000009
0.99,0.00346278861215729,0.0035266839949164735,-0.01811769436991947,0.0050000000000000044,-0.0050000000000000044
0.995,0.00241296601511619,0.0024968730444297673,-0.03360484406716802,0.0025000000000000022,-0.0025000000000000022
