sweep,points_per_pump,settle_periods,eval_samples,state_periodicity_rel,closure_W,relative_closure,solver_steps
evaluation_quadrature,80,10,501,,-1.047325e-11,-4.171774e-09,
evaluation_quadrature,80,10,1001,,-2.458979e-12,-9.794767e-10,
evaluation_quadrature,80,10,2001,,-6.068764e-13,-2.417350e-10,
evaluation_quadrature,80,10,4001,,-1.511411e-13,-6.020355e-11,
evaluation_quadrature,80,10,8001,,-3.763385e-14,-1.499057e-11,
evaluation_quadrature,80,10,16001,,-9.281967e-15,-3.697255e-12,
evaluation_quadrature,80,10,32001,,-2.195622e-15,-8.745747e-13,
ode_step_resolution,10,10,16001,,-6.892987e-11,-2.745660e-08,2310
ode_step_resolution,15,10,16001,,-8.494683e-13,-3.383658e-10,3320
ode_step_resolution,20,10,16001,,1.042605e-12,4.152971e-10,4402
ode_step_resolution,30,10,16001,,8.596632e-13,3.424268e-10,6601
ode_step_resolution,40,10,16001,,5.863177e-14,2.335460e-11,8801
ode_step_resolution,60,10,16001,,-7.796150e-15,-3.105414e-12,13202
ode_step_resolution,80,10,16001,,-9.281843e-15,-3.697205e-12,17601
ode_step_resolution,120,10,16001,,-9.324711e-15,-3.714281e-12,26402
settling_periodicity,80,1,4001,0.006746,4.309485e-11,1.716580e-08,
settling_periodicity,80,2,4001,0.004874,-2.249989e-11,-8.962307e-09,
settling_periodicity,80,4,4001,0.002849,4.070646e-12,1.621446e-09,
settling_periodicity,80,6,4001,0.001888,1.674613e-12,6.670431e-10,
settling_periodicity,80,8,4001,0.001147,-8.778438e-13,-3.496687e-10,
settling_periodicity,80,10,4001,0.000711,-1.511411e-13,-6.020355e-11,
settling_periodicity,80,12,4001,0.000507,4.621589e-13,1.840902e-10,
settling_periodicity,80,14,4001,0.000305,2.879000e-13,1.147050e-10,
settling_periodicity,80,16,4001,0.000188,-6.689000e-14,-2.665392e-11,
settling_periodicity,80,18,4001,0.000135,-1.950000e-13,-7.770965e-11,
settling_periodicity,80,20,4001,0.000082,-1.023000e-13,-4.074009e-11,
