test,case,metric,value
direct_energy,both_delta0,Pin_W,0.0024998582089945046
direct_energy,both_delta0,Pout_W,0.0025105024400649927
direct_energy,both_delta0,Ppump_W,1.06444408846437e-05
direct_energy,both_delta0,dUdt_W,2.099584622825841e-10
direct_energy,both_delta0,closure_W,-1.4430664976929608e-13
direct_energy,both_delta0,relative_closure,-5.74811828366756e-11
action_single_input,carrier,action_ratio,0.9999999649747384
action_single_input,carrier,energy_out_W,0.0025106442484526914
action_single_input,carrier,incident_W,0.0025
gram,nout5_settle4_pp40,max_abs,2.44983694817509e-06
gram,nout5_settle4_pp40,fro,6.551874402072916e-06
gram,nout6_settle5_pp50,max_abs,1.2557348949267712e-06
gram,nout6_settle5_pp50,fro,4.006362587686602e-06
gram,nout7_settle8_pp60,max_abs,8.971140940246193e-07
gram,nout7_settle8_pp60,fro,2.083438341109653e-06
