case,u,H,nr_phase,max_overlap_abs_change,max_sig_relative_change,max_weak_abs_change,edge_sideband_max
lowu,0.05,10,-7.059328705398763e-05,,,,6.63942600620894e-21
lowu,0.05,11,-7.059328705412448e-05,5.8497797609715534e-15,2.0668156733551343e-13,1.7839972681800665e-16,9.496098209956587e-23
lowu,0.05,12,-7.059328705419334e-05,5.349810069251077e-15,2.5974095165066547e-13,4.479717919360579e-16,6.233793161742906e-24
lowu,0.05,13,-7.059328705483356e-05,5.360791279316649e-15,2.858335291595918e-13,5.232374174871591e-16,2.5317777471222253e-25
lowu,0.05,14,-7.059328705414751e-05,2.4456820374454727e-15,1.9844087605166767e-13,1.811582874518359e-16,7.149913578671314e-27
lowu,0.05,15,-7.059328705419327e-05,9.36359190207e-15,2.908859571950082e-13,3.9371207601613347e-16,5.35899768579526e-28
lowu,0.05,16,-7.059328705417083e-05,7.37154856152335e-15,3.29232842329243e-13,3.9617860424839016e-16,2.0592976178127367e-29
highu,0.7,10,-0.028379978628494992,,,,1.3152095691192061e-06
highu,0.7,11,-0.028379978628458223,9.871563913434808e-09,9.66386282334486e-09,9.871563913434808e-09,1.0889101424373846e-07
highu,0.7,12,-0.02837997862846801,6.836575342761071e-10,3.191467530883401e-11,6.836575342761071e-10,8.249094632099123e-09
highu,0.7,13,-0.028379978628467698,4.534532668680094e-11,9.354132675546943e-13,4.534532668680094e-11,5.832263384225013e-10
highu,0.7,14,-0.028379978628476472,2.899964259734801e-12,4.826886792318307e-12,2.899964259734801e-12,3.905851681355446e-11
highu,0.7,15,-0.028379978628470897,1.7999753710782835e-13,5.144644365914371e-12,1.7999753710782835e-13,2.5058611400147917e-12
highu,0.7,16,-0.02837997862848042,9.745336355259362e-14,1.897964465015908e-12,1.0909907604613347e-14,1.553777415783185e-13
