split,condition_id,N,ZL,ZR,delta_deg,r,u,fm_Hz,f0_Hz,kappa_rad_per_cell,me,mm,S21_real,S21_imag,S21_mag,S12_real,S12_imag,S12_mag,phi_nr_rad,xi_hat,control
static,1,96,50.0,50.0,0.0,0.02,0.4,2666666.6666666665,53333.33333333333,0.5235987755982988,0.0,0.0,0.9202311140065882,-0.3913745327908872,0.9999996640514893,0.9202311140065875,-0.3913745327908875,0.9999996640514889,5.619143514591297e-16,-6.986831767890395e-16,static
Lonly,3,96,50.0,50.0,0.0,0.02,0.4,2666666.6666666665,53333.33333333333,0.5235987755982988,0.0,0.1,0.9201477201481204,-0.3915663601292748,0.9999980206373774,0.9201421693080938,-0.39156168247075396,0.9999910814193956,-2.130637818241339e-06,2.64923078680969e-06,Lonly
Conly,2,96,50.0,50.0,0.0,0.02,0.4,2666666.6666666665,53333.33333333333,0.5235987755982988,0.1,0.0,0.9201477201481172,-0.391566360129273,0.9999980206373738,0.9201421693080963,-0.39156168247075523,0.9999910814193984,-2.130637817628402e-06,2.6492307860475656e-06,Conly
dual0,0,96,50.0,50.0,0.0,0.02,0.4,2666666.6666666665,53333.33333333333,0.5235987755982988,0.1,0.1,0.9196762931402023,-0.39267375389120013,0.9999985805785476,0.9204543582615747,-0.3908485344091177,0.999999401246062,-0.0019841421456406856,0.0024670783615287064,dual0
q90,5,96,50.0,50.0,90.0,0.02,0.4,2666666.6666666665,53333.33333333333,0.5235987755982988,0.1,0.1,0.9200635020266835,-0.3917573581622486,0.9999953377070662,0.9200513468654756,-0.3917473536376488,0.9999802347802065,-4.443032628441175e-06,5.524457852617104e-06,q90
q270,6,96,50.0,50.0,270.0,0.02,0.4,2666666.6666666665,53333.33333333333,0.5235987755982988,0.1,0.1,0.920064596823162,-0.39176057327661873,0.9999976045478272,0.9200553109747399,-0.39174961799200864,0.999984769108865,-6.44185376279439e-06,8.00978803924885e-06,q270
d180,4,96,50.0,50.0,180.0,0.02,0.4,2666666.6666666665,53333.33333333333,0.5235987755982988,0.1,0.1,0.9204509422777917,-0.3908444853930602,0.9999946744369395,0.9196519703278236,-0.3926478463166504,0.9999660382957773,0.001972257804841621,-0.0024523013960321455,d180
Krev,7,96,50.0,50.0,0.0,0.02,-0.4,2666666.6666666665,53333.33333333333,-0.5235987755982988,0.1,0.1,0.9204543582615691,-0.39084853440911643,0.9999994012460564,0.9196762931402054,-0.3926737538912021,0.9999985805785513,0.0019841421456402676,-0.0024670783615281864,Krev
load5075,8,96,50.0,75.0,0.0,0.02,0.4,2666666.6666666665,53333.33333333333,0.5235987755982988,0.1,0.1,0.9009821836622102,-0.38462431383668144,0.9796452205115189,0.9017455911162279,-0.3828362875668011,0.9796472498687911,-0.0019845709527219323,0.002467611539392872,load5075
load7550,9,96,75.0,50.0,0.0,0.02,0.4,2666666.6666666665,53333.33333333333,0.5235987755982988,0.1,0.1,0.9012079164455726,-0.3848560543157218,0.979943820434435,0.9019692221175266,-0.38306735795518815,0.979943405701607,-0.001983757707314229,0.002466600351685194,load7550
