u,H,A,delta0_deg,B,rms_over_A,min_h0_weight,mean_h0_weight,distortion_pct
0.6,2,0.005710304793823048,14.999999999999723,-0.0008782396293935984,0.001123611591631357,0.9660055597200732,0.9878566015830078,0.1123611591631357
0.6,3,0.005710420022317841,15.000000000000263,-0.0008782765554401303,0.0011408378030875275,0.9660047318088352,0.987854054398172,0.11408378030875274
0.6,4,0.005710420842849139,14.999999999999668,-0.000878276923282247,0.0011411149931285897,0.9660047344097202,0.9878540038504156,0.11411149931285897
0.6,5,0.005710420861550313,15.000000000000203,-0.0008782769406626582,0.0011411241363468187,0.9660047343835133,0.9878540012708769,0.11411241363468187
0.65,2,0.007851455521650393,14.999999999999776,-0.0020260085679159635,0.0030177910385408347,0.9129527517459979,0.9719642447466303,0.30177910385408346
0.65,3,0.007851641914944219,15.000000000000009,-0.0020266561247443836,0.003104067624061548,0.9129474688724482,0.9719412602529444,0.3104067624061548
0.65,4,0.007851634748686987,15.000000000000721,-0.002026676549710605,0.003106743370029814,0.9129474914903164,0.9719402738996881,0.3106743370029814
0.65,5,0.007851633012371077,15.000000000000195,-0.002026679110031559,0.0031069951700584213,0.9129474909157327,0.9719400963932582,0.31069951700584214
0.7,2,0.04469479415707957,14.520700770269533,-0.04286956725627703,0.3612075279858234,0.8612887528671256,0.9779078902425374,36.12075279858234
0.7,3,0.04468544408612969,14.520979466656517,-0.04287630085939981,0.3611168124849838,0.8579229471094613,0.977552061002025,36.11168124849838
0.7,4,0.04468411808941733,14.521005754485937,-0.04287725506732929,0.36110714012419265,0.8574105360309365,0.9774926778833027,36.110714012419265
0.7,5,0.04468743644824464,14.520916985143709,-0.04287480946358822,0.36113046430828877,0.8556219293581175,0.9773803087106964,36.113046430828874
0.72,2,0.01619790861536277,14.702051986469264,-0.03147486831251234,0.6075413508620542,0.9250478089928511,0.9798642443084177,60.754135086205416
0.72,3,0.016191520526121043,14.703141287447076,-0.03147714942454783,0.6069625566548602,0.9103618935575126,0.9792634564089883,60.69625566548602
0.72,4,0.016188410928136717,14.70346725947285,-0.03147868837373976,0.6068209349448151,0.904247706879456,0.9790260571533679,60.682093494481514
0.72,5,0.01619053679678613,14.703239549673285,-0.03147765158013249,0.6069232082317558,0.9082146432946788,0.9791440654611394,60.692320823175585
0.74,2,0.009826391372368405,14.934287808509074,-0.006220419478683535,0.2578155841508646,0.9526926934447376,0.9775657302369002,25.781558415086458
0.74,3,0.009834655088612995,14.934453231249684,-0.006214290281522378,0.25725777396317534,0.95232387614913,0.9774627361870972,25.725777396317532
0.74,4,0.009835808252583948,14.934481551082824,-0.006213499332922891,0.257167072610948,0.952210663303949,0.9774360062574112,25.7167072610948
0.74,5,0.009835729352173922,14.934479234435598,-0.006213586568284677,0.25718480325635623,0.9517322964215632,0.9773709983927809,25.718480325635625
0.75,2,0.006046995995191368,15.266980332472146,0.00558491962837965,0.6207684312097093,0.9447804719074945,0.9750809376274812,62.07684312097093
0.75,3,0.006016026451856653,15.280597053074585,0.005571480807314397,0.6321815293816201,0.9489042434136573,0.9757704618803114,63.21815293816201
0.75,4,0.008073558440929721,15.086382232139965,0.006634039649429705,0.3360966940894044,0.9461475988508196,0.9747034860332847,33.60966940894044
0.75,5,0.005998568176486329,15.28701782066537,0.005562643670772365,0.6375450984452802,0.948747000858845,0.9755783692047042,63.754509844528016
0.76,2,0.0025794256528259233,-167.64053395486866,0.014409948011433584,4.131141147052566,0.9147077481336252,0.9738850792652134,413.1141147052566
0.76,3,0.0026417010185724515,-167.62892039124588,0.014378833675702585,4.048323765143366,0.9223358086507899,0.9741772262707472,404.83237651433666
0.76,4,0.0032775698131065545,16.144541210028397,0.017579742858293817,2.5620429688914945,0.890064507974972,0.9698339571574388,256.2042968891495
0.76,5,0.00010153021779657675,94.49071459915893,0.01589730652451688,113.70839683001527,0.9420351441045648,0.9732144992262193,11370.839683001528
0.8,2,0.03090445979275908,-165.69043091251174,0.03201142214338443,0.4356874486133942,0.7985378716081843,0.9462210067622336,43.56874486133942
0.8,3,0.004480206421884271,-167.24405537685087,0.06416199599744735,4.499984945888485,0.8035889089936665,0.9460640614334305,449.99849458884853
0.8,4,0.032978542075946436,-165.73840170380382,0.03650392534319361,0.41713718319474724,0.7201622128936256,0.9195320294685287,41.71371831947472
0.8,5,0.03911461633530474,-165.1202269906571,0.036483766758463466,0.690733475023607,0.38054541800710334,0.8087181521629077,69.0733475023607
0.85,2,0.0068923475500729725,14.999999999999986,0.013340559088047653,0.09468166642554661,0.7041636760749596,0.8458917223822524,9.46816664255466
0.85,3,0.0823469481077251,-165.69448504249644,0.0026975472350853477,0.7855812694557897,0.6483244084956933,0.9017204513227958,78.55812694557896
0.85,4,0.04446783696893342,-165.7552533525725,0.01443417031213412,1.2252682997710427,0.6609891277896983,0.89241444516856,122.52682997710427
0.85,5,0.02788190792814026,130.5718470285492,-0.027349591691083634,2.2507558953167774,0.0025061506961952243,0.6035606580011145,225.07558953167774
