u,delta_deg,max_growth_over_Omega_numeric,isolated_two_mode_prediction
1.05,0,0.0,0.0
1.05,90,0.0,0.005390110201272272
1.05,135,0.00413313144559862,0.007042518365584703
1.05,180,0.00751420224430807,0.007622766949324821
1.1,0,0.0,0.0
1.1,90,0.004772499734510863,0.0073644780663725705
1.1,135,0.008835637558589808,0.009622154297166792
1.1,180,0.010364710757635525,0.010414944761263279
1.15,0,0.0,0.0
1.15,90,0.007603453750739007,0.008729553480548373
1.15,135,0.011023381508404264,0.011405711277592176
1.15,180,0.012323826736818306,0.012345452925652768
