P_aux_kW,B_T,min_sigma_S_m,slip_m_s,wave_speed_m_s,P_ohm_kW,P_total_kW,EM_eff_pct
3.0,0.8,241.0,23.85892116182572,51.547667371552635,26.340248962655593,59.90862477819411,53.71483836532897
3.0,1.0,154.0,23.8961038961039,51.58485010583082,26.381298701298704,59.94967451683722,53.67612032005723
3.0,1.2,107.0,23.883696780893036,51.572442990619955,26.36760124610591,59.93597706164443,53.689033530490256
3.0,1.4,79.0,23.766468612761564,51.455214822488486,26.23818134848877,59.80655716402728,53.81135091020077
3.0,1.6,61.0,23.5655737704918,51.25431998021872,26.016393442622945,59.584769258161465,54.022268211563855
3.0,1.8,48.0,23.662551440329217,51.35129765005614,26.123456790123456,59.69183260566197,53.92024637511113
3.0,2.0,39.0,23.58974358974359,51.278489799470506,26.043076923076924,59.61145273861544,53.99680512824469
5.0,0.8,260.0,22.115384615384613,49.80413082511153,24.415384615384614,59.983760430923134,55.595280453656855
5.0,1.0,167.0,22.035928143712574,49.7246743534395,24.327664670658685,59.89604048619721,55.684117733818134
5.0,1.2,116.0,22.03065134099616,49.71939755072308,24.32183908045976,59.890214895998284,55.69002758225142
5.0,1.4,85.0,22.08883553421369,49.77758174394061,24.386074429771913,59.95445024531043,55.62493242873827
5.0,1.6,65.0,22.115384615384613,49.80413082511153,24.415384615384614,59.983760430923134,55.595280453656855
5.0,1.8,52.0,21.842355175688507,49.531101385415425,24.11396011396011,59.68233592949863,55.901737363506214
5.0,2.0,42.0,21.904761904761905,49.59350811448883,24.182857142857145,59.75123295839566,55.831392580267185
8.0,0.8,297.0,19.360269360269356,47.04901556999627,21.37373737373737,59.94211318927589,58.85085133935166
8.0,1.0,190.0,19.36842105263158,47.0571672623585,21.382736842105263,59.95111265764378,58.840656632290376
8.0,1.2,132.0,19.360269360269356,47.04901556999627,21.37373737373737,59.94211318927589,58.85085133935166
8.0,1.4,97.0,19.356196086682097,47.04494229640902,21.369240479697034,59.93761629523555,58.855946799280964
8.0,1.6,75.0,19.166666666666664,46.855412876393586,21.159999999999997,59.72837581553851,59.0940181933108
8.0,1.8,59.0,19.25088930738648,46.9396355171134,21.252981795354675,59.82135761089319,58.98798724082991
8.0,2.0,48.0,19.166666666666668,46.855412876393586,21.16,59.72837581553851,59.0940181933108
12.0,1.0,234.0,15.726495726495726,43.41524193622264,17.362051282051283,59.9304270975898,63.77655628500682
12.0,1.2,162.0,15.77503429355281,43.46378050327973,17.415637860082303,59.98401367562082,63.70533324324504
12.0,1.4,119.0,15.77773966729549,43.46648587702241,17.418624592694222,59.98700040823274,63.70136819448742
12.0,1.6,92.0,15.624999999999998,43.313746209726915,17.249999999999996,59.818375815538516,63.926001864758796
12.0,1.8,72.0,15.77503429355281,43.46378050327973,17.415637860082303,59.98401367562082,63.70533324324504
12.0,2.0,59.0,15.593220338983052,43.281966548709974,17.21491525423729,59.78329106977581,63.97293935007717
