B_T,P_aux_kW,ripple_fraction,required_sigma_mean_S_m,required_sigma_min_S_m
1.2,5.0,0.05,121.55657515771375,115.47874639982805
1.2,5.0,0.1,128.30971822203117,115.47874639982805
1.2,5.0,0.2,144.34843299978505,115.47874639982805
1.2,5.0,0.3,164.9696377140401,115.47874639982805
1.2,8.0,0.05,138.57207161913158,131.643468038175
1.2,8.0,0.1,146.27052004241668,131.643468038175
1.2,8.0,0.2,164.55433504771875,131.643468038175
1.2,8.0,0.3,188.06209719739286,131.643468038175
1.4,5.0,0.05,89.30687154444277,84.84152796722063
1.4,5.0,0.1,94.26836440802292,84.84152796722063
1.4,5.0,0.2,106.05190995902578,84.84152796722063
1.4,5.0,0.3,121.2021828103152,84.84152796722063
1.4,8.0,0.05,101.8080526181375,96.71764998723062
1.4,8.0,0.1,107.46405554136734,96.71764998723062
1.4,8.0,0.2,120.89706248403826,96.71764998723062
1.4,8.0,0.3,138.16807141032945,96.71764998723062
1.6,5.0,0.05,68.37557352621398,64.95679484990328
1.6,5.0,0.1,72.17421649989252,64.95679484990328
1.6,5.0,0.2,81.19599356237909,64.95679484990328
1.6,5.0,0.3,92.79542121414754,64.95679484990328
1.6,8.0,0.05,77.94679028576151,74.04945077147343
1.6,8.0,0.1,82.27716752385936,74.04945077147343
1.6,8.0,0.2,92.56181346434178,74.04945077147343
1.6,8.0,0.3,105.78492967353348,74.04945077147343
1.8,5.0,0.05,54.025144514539434,51.32388728881246
1.8,5.0,0.1,57.02654143201384,51.32388728881246
1.8,5.0,0.2,64.15485911101557,51.32388728881246
1.8,5.0,0.3,73.3198389840178,51.32388728881246
1.8,8.0,0.05,61.587587386280696,58.508208016966655
1.8,8.0,0.1,65.00912001885183,58.508208016966655
1.8,8.0,0.2,73.13526002120831,58.508208016966655
1.8,8.0,0.3,83.58315430995238,58.508208016966655
