a_electric_depth,b_magnetic_depth,depth_ratio_a_over_b,phase_uniform_pole_u,approximation,error_threshold_pct,worst_case_phase_deg,u_at_threshold,u_threshold_fraction_of_pole,status
0.05,0.05,1,0.9523809523809523,O(2),0.1,0,0.5846175399466186,0.6138484169439495,crossed_before_phase_uniform_pole
0.05,0.05,1,0.9523809523809523,O(2),1,0,0.8069588866264272,0.8473068309577486,crossed_before_phase_uniform_pole
0.05,0.05,1,0.9523809523809523,O(2),5,0,0.8992129984768593,0.9441736484007023,crossed_before_phase_uniform_pole
0.05,0.05,1,0.9523809523809523,O(2),10,0,0.9241615821641679,0.9703696612723763,crossed_before_phase_uniform_pole
0.05,0.05,1,0.9523809523809523,O(4),0.1,0,0.857881360013704,0.9007754280143893,crossed_before_phase_uniform_pole
0.05,0.05,1,0.9523809523809523,O(4),1,0,0.9126024905136576,0.9582326150393405,crossed_before_phase_uniform_pole
0.05,0.05,1,0.9523809523809523,O(4),5,0,0.9372370467231886,0.9840988990593481,crossed_before_phase_uniform_pole
0.05,0.05,1,0.9523809523809523,O(4),10,0,0.9447737861035546,0.9920124754087324,crossed_before_phase_uniform_pole
0.05,0.05,1,0.9523809523809523,O(6),0.1,0,0.9053320082642283,0.9505986086774398,crossed_before_phase_uniform_pole
0.05,0.05,1,0.9523809523809523,O(6),1,0,0.9317436381389451,0.9783308200458924,crossed_before_phase_uniform_pole
0.05,0.05,1,0.9523809523809523,O(6),5,0,0.9447363144967356,0.9919731302215724,crossed_before_phase_uniform_pole
0.05,0.05,1,0.9523809523809523,O(6),10,0,0.9488484767205881,0.9962909005566176,crossed_before_phase_uniform_pole
0.05,0.1,0.5,0.9304842103984707,O(2),0.1,0,0.4950408617365722,0.5320249996768627,crossed_before_phase_uniform_pole
0.05,0.1,0.5,0.9304842103984707,O(2),1,0,0.7411051892785124,0.7964726117825701,crossed_before_phase_uniform_pole
0.05,0.1,0.5,0.9304842103984707,O(2),5,0,0.8578704365277291,0.9219613045989835,crossed_before_phase_uniform_pole
0.05,0.1,0.5,0.9304842103984707,O(2),10,0,0.8914374370324317,0.9580360709728566,crossed_before_phase_uniform_pole
0.05,0.1,0.5,0.9304842103984707,O(4),0.1,0,0.8035124203354332,0.8635422410782628,crossed_before_phase_uniform_pole
0.05,0.1,0.5,0.9304842103984707,O(4),1,0,0.8754775980915089,0.9408838842268954,crossed_before_phase_uniform_pole
0.05,0.1,0.5,0.9304842103984707,O(4),5,0,0.9092830424917318,0.9772149084639923,crossed_before_phase_uniform_pole
0.05,0.1,0.5,0.9304842103984707,O(4),10,0,0.919808691805117,0.9885269212802849,crossed_before_phase_uniform_pole
0.05,0.1,0.5,0.9304842103984707,O(6),0.1,0,0.8655527555951068,0.9302175640620944,crossed_before_phase_uniform_pole
0.05,0.1,0.5,0.9304842103984707,O(6),1,0,0.9016083392650895,0.9689668338154654,crossed_before_phase_uniform_pole
0.05,0.1,0.5,0.9304842103984707,O(6),5,0,0.9197291171143938,0.9884414016230633,crossed_before_phase_uniform_pole
0.05,0.1,0.5,0.9304842103984707,O(6),10,0,0.925515285966874,0.9946598508861652,crossed_before_phase_uniform_pole
0.05,0.15,0.33333333333333337,0.91003151038658,O(2),0.1,0,0.4368568257242584,0.4800458234008647,crossed_before_phase_uniform_pole
0.05,0.15,0.33333333333333337,0.91003151038658,O(2),1,0,0.6890972837103609,0.7572235420921122,crossed_before_phase_uniform_pole
0.05,0.15,0.33333333333333337,0.91003151038658,O(2),5,0,0.8217480051976174,0.9029885183300301,crossed_before_phase_uniform_pole
0.05,0.15,0.33333333333333337,0.91003151038658,O(2),10,0,0.8619589216400771,0.9471748085667037,crossed_before_phase_uniform_pole
0.05,0.15,0.33333333333333337,0.91003151038658,O(4),0.1,0,0.7583248663747142,0.8332951746391495,crossed_before_phase_uniform_pole
0.05,0.15,0.33333333333333337,0.91003151038658,O(4),1,0,0.8425442714442294,0.9258407668612681,crossed_before_phase_uniform_pole
0.05,0.15,0.33333333333333337,0.91003151038658,O(4),5,0,0.8836900773841809,0.9710543726214389,crossed_before_phase_uniform_pole
0.05,0.15,0.33333333333333337,0.91003151038658,O(4),10,0,0.8967236637889071,0.9853764991148276,crossed_before_phase_uniform_pole
0.05,0.15,0.33333333333333337,0.91003151038658,O(6),0.1,0,0.8305957704921989,0.9127110006766282,crossed_before_phase_uniform_pole
0.05,0.15,0.33333333333333337,0.91003151038658,O(6),1,0,0.8742201902816693,0.9606482636082588,crossed_before_phase_uniform_pole
0.05,0.15,0.33333333333333337,0.91003151038658,O(6),5,0,0.8966082708898467,0.9852496981219572,crossed_before_phase_uniform_pole
0.05,0.15,0.33333333333333337,0.91003151038658,O(6),10,0,0.903823013412929,0.9931777120871192,crossed_before_phase_uniform_pole
0.05,0.2,0.25,0.8908708063747479,O(2),0.1,0,0.3952524671384136,0.44366979399272094,crossed_before_phase_uniform_pole
0.05,0.2,0.25,0.8908708063747479,O(2),1,0,0.6466884730165037,0.7259060106011285,crossed_before_phase_uniform_pole
0.05,0.2,0.25,0.8908708063747479,O(2),5,0,0.7898339732828349,0.8865864361376193,crossed_before_phase_uniform_pole
0.05,0.2,0.25,0.8908708063747479,O(2),10,0,0.8352233906536497,0.9375359307736818,crossed_before_phase_uniform_pole
0.05,0.2,0.25,0.8908708063747479,O(4),0.1,0,0.7199939216580046,0.8081911726212034,crossed_before_phase_uniform_pole
0.05,0.2,0.25,0.8908708063747479,O(4),1,0,0.8130684621674665,0.912667085226549,crossed_before_phase_uniform_pole
0.05,0.2,0.25,0.8908708063747479,O(4),5,0,0.86014332732157,0.9655084903071205,crossed_before_phase_uniform_pole
0.05,0.2,0.25,0.8908708063747479,O(4),10,0,0.8752939101544636,0.9825149773583086,crossed_before_phase_uniform_pole
0.05,0.2,0.25,0.8908708063747479,O(6),0.1,0,0.7995589006952772,0.8975026400842009,crossed_before_phase_uniform_pole
0.05,0.2,0.25,0.8908708063747479,O(6),1,0,0.8491854593580079,0.9532083140243739,crossed_before_phase_uniform_pole
0.05,0.2,0.25,0.8908708063747479,O(6),5,0,0.8751478629338143,0.9823510397597206,crossed_before_phase_uniform_pole
0.05,0.2,0.25,0.8908708063747479,O(6),10,0,0.8835878742465761,0.9918249289615758,crossed_before_phase_uniform_pole
0.05,0.3,0.16666666666666669,0.8559209850218258,O(2),0.1,0,0.33853307181691994,0.3955190697985836,crossed_before_phase_uniform_pole
0.05,0.3,0.16666666666666669,0.8559209850218258,O(2),1,0,0.5810647284748227,0.6788766003441378,crossed_before_phase_uniform_pole
0.05,0.3,0.16666666666666669,0.8559209850218258,O(2),5,0,0.735777518693282,0.859632526330126,crossed_before_phase_uniform_pole
0.05,0.3,0.16666666666666669,0.8559209850218258,O(2),10,0,0.7884569049591406,0.9211795466599467,crossed_before_phase_uniform_pole
0.05,0.3,0.16666666666666669,0.8559209850218258,O(4),0.1,0,0.658064072744848,0.7688374093644491,crossed_before_phase_uniform_pole
0.05,0.3,0.16666666666666669,0.8559209850218258,O(4),1,0,0.7623485865762554,0.8906763590529512,crossed_before_phase_uniform_pole
0.05,0.3,0.16666666666666669,0.8559209850218258,O(4),5,0,0.8181964087313863,0.95592516488017,crossed_before_phase_uniform_pole
0.05,0.3,0.16666666666666669,0.8559209850218258,O(4),10,0,0.8366737607939935,0.9775128492411698,crossed_before_phase_uniform_pole
0.05,0.3,0.16666666666666669,0.8559209850218258,O(6),0.1,0,0.7466729427749987,0.872362000513352,crossed_before_phase_uniform_pole
0.05,0.3,0.16666666666666669,0.8559209850218258,O(6),1,0,0.804958146502642,0.9404584775802824,crossed_before_phase_uniform_pole
0.05,0.3,0.16666666666666669,0.8559209850218258,O(6),5,0,0.8364785694619216,0.9772848009335716,crossed_before_phase_uniform_pole
0.05,0.3,0.16666666666666669,0.8559209850218258,O(6),10,0,0.8468867999201463,0.9894450711458498,crossed_before_phase_uniform_pole
0.1,0.05,2,0.9304842103984707,O(2),0.1,0,0.4950408617365722,0.5320249996768627,crossed_before_phase_uniform_pole
0.1,0.05,2,0.9304842103984707,O(2),1,0,0.7411051892785124,0.7964726117825701,crossed_before_phase_uniform_pole
0.1,0.05,2,0.9304842103984707,O(2),5,0,0.8578704365277291,0.9219613045989835,crossed_before_phase_uniform_pole
0.1,0.05,2,0.9304842103984707,O(2),10,0,0.8914374370324317,0.9580360709728566,crossed_before_phase_uniform_pole
0.1,0.05,2,0.9304842103984707,O(4),0.1,0,0.8035124203354332,0.8635422410782628,crossed_before_phase_uniform_pole
0.1,0.05,2,0.9304842103984707,O(4),1,0,0.8754775980915089,0.9408838842268954,crossed_before_phase_uniform_pole
0.1,0.05,2,0.9304842103984707,O(4),5,0,0.9092830424917318,0.9772149084639923,crossed_before_phase_uniform_pole
0.1,0.05,2,0.9304842103984707,O(4),10,0,0.919808691805117,0.9885269212802849,crossed_before_phase_uniform_pole
0.1,0.05,2,0.9304842103984707,O(6),0.1,0,0.8655527555951068,0.9302175640620944,crossed_before_phase_uniform_pole
0.1,0.05,2,0.9304842103984707,O(6),1,0,0.9016083392650895,0.9689668338154654,crossed_before_phase_uniform_pole
0.1,0.05,2,0.9304842103984707,O(6),5,0,0.9197291171143938,0.9884414016230633,crossed_before_phase_uniform_pole
0.1,0.05,2,0.9304842103984707,O(6),10,0,0.925515285966874,0.9946598508861652,crossed_before_phase_uniform_pole
0.1,0.1,1,0.9090909090909091,O(2),0.1,0,0.4205121581195263,0.46256337393147895,crossed_before_phase_uniform_pole
0.1,0.1,1,0.9090909090909091,O(2),1,0,0.683359786167198,0.7516957647839178,crossed_before_phase_uniform_pole
0.1,0.1,1,0.9090909090909091,O(2),5,0,0.8196731153088077,0.9016404268396885,crossed_before_phase_uniform_pole
0.1,0.1,1,0.9090909090909091,O(2),10,0,0.8606005640212167,0.9466606204233383,crossed_before_phase_uniform_pole
0.1,0.1,1,0.9090909090909091,O(4),0.1,0,0.7537099737866654,0.829080971165332,crossed_before_phase_uniform_pole
0.1,0.1,1,0.9090909090909091,O(4),1,0,0.8403812504831651,0.9244193755314817,crossed_before_phase_uniform_pole
0.1,0.1,1,0.9090909090909091,O(4),5,0,0.8824082487222664,0.970649073594493,crossed_before_phase_uniform_pole
0.1,0.1,1,0.9090909090909091,O(4),10,0,0.8956613243013348,0.9852274567314684,crossed_before_phase_uniform_pole
0.1,0.1,1,0.9090909090909091,O(6),0.1,0,0.8279294993424438,0.9107224492766881,crossed_before_phase_uniform_pole
0.1,0.1,1,0.9090909090909091,O(6),1,0,0.8726584882026254,0.9599243370228879,crossed_before_phase_uniform_pole
0.1,0.1,1,0.9090909090909091,O(6),5,0,0.8954953665158097,0.9850449031673908,crossed_before_phase_uniform_pole
0.1,0.1,1,0.9090909090909091,O(6),10,0,0.9028294414159271,0.9931123855575199,crossed_before_phase_uniform_pole
0.1,0.15,0.6666666666666667,0.8891084489487742,O(2),0.1,0,0.37122136907962155,0.4175209104339637,crossed_before_phase_uniform_pole
0.1,0.15,0.6666666666666667,0.8891084489487742,O(2),1,0,0.6371727759439819,0.7166423586429022,crossed_before_phase_uniform_pole
0.1,0.15,0.6666666666666667,0.8891084489487742,O(2),5,0,0.7861422774651013,0.8841916623271171,crossed_before_phase_uniform_pole
0.1,0.15,0.6666666666666667,0.8891084489487742,O(2),10,0,0.8327498266739591,0.936612207046902,crossed_before_phase_uniform_pole
0.1,0.15,0.6666666666666667,0.8891084489487742,O(4),0.1,0,0.712161171305521,0.8009834707425574,crossed_before_phase_uniform_pole
0.1,0.15,0.6666666666666667,0.8891084489487742,O(4),1,0,0.8091971920904972,0.9101220363469057,crossed_before_phase_uniform_pole
0.1,0.15,0.6666666666666667,0.8891084489487742,O(4),5,0,0.8577852079234503,0.964770055821246,crossed_before_phase_uniform_pole
0.1,0.15,0.6666666666666667,0.8891084489487742,O(4),10,0,0.8733219112660819,0.9822445307978377,crossed_before_phase_uniform_pole
0.1,0.15,0.6666666666666667,0.8891084489487742,O(6),0.1,0,0.7948261471540214,0.8939586032432532,crossed_before_phase_uniform_pole
0.1,0.15,0.6666666666666667,0.8891084489487742,O(6),1,0,0.8463315476069314,0.9518878699303561,crossed_before_phase_uniform_pole
0.1,0.15,0.6666666666666667,0.8891084489487742,O(6),5,0,0.8730824817979222,0.9819752391625566,crossed_before_phase_uniform_pole
0.1,0.15,0.6666666666666667,0.8891084489487742,O(6),10,0,0.8817345300959804,0.9917063898543398,crossed_before_phase_uniform_pole
0.1,0.2,0.5,0.8703882797784892,O(2),0.1,0,0.33576061028948184,0.3857595720095539,crossed_before_phase_uniform_pole
0.1,0.2,0.5,0.8703882797784892,O(2),1,0,0.5991875581304125,0.6884140929412602,crossed_before_phase_uniform_pole
0.1,0.2,0.5,0.8703882797784892,O(2),5,0,0.7564072933509979,0.8690458165906151,crossed_before_phase_uniform_pole
0.1,0.2,0.5,0.8703882797784892,O(2),10,0,0.8074356345406597,0.9276729171332009,crossed_before_phase_uniform_pole
0.1,0.2,0.5,0.8703882797784892,O(4),0.1,0,0.6768075236474643,0.7775926438482254,crossed_before_phase_uniform_pole
0.1,0.2,0.5,0.8703882797784892,O(4),1,0,0.7812470262983122,0.8975844969984395,crossed_before_phase_uniform_pole
0.1,0.2,0.5,0.8703882797784892,O(4),5,0,0.8351153950518265,0.9594745407927143,crossed_before_phase_uniform_pole
0.1,0.2,0.5,0.8703882797784892,O(4),10,0,0.8525751695641038,0.9795342944887554,crossed_before_phase_uniform_pole
0.1,0.2,0.5,0.8703882797784892,O(6),0.1,0,0.7654024442855571,0.8793804582023432,crossed_before_phase_uniform_pole
0.1,0.2,0.5,0.8703882797784892,O(6),1,0,0.8222530059966348,0.9446967808503756,crossed_before_phase_uniform_pole
0.1,0.2,0.5,0.8703882797784892,O(6),5,0,0.8522728481776798,0.9791869536600151,crossed_before_phase_uniform_pole
0.1,0.2,0.5,0.8703882797784892,O(6),10,0,0.862052640569443,0.9904230796729391,crossed_before_phase_uniform_pole
0.1,0.3,0.33333333333333337,0.8362420100070908,O(2),0.1,0,0.28730422519801424,0.34356588375125774,crossed_before_phase_uniform_pole
0.1,0.3,0.33333333333333337,0.8362420100070908,O(2),1,0,0.5399147374946686,0.6456441210004392,crossed_before_phase_uniform_pole
0.1,0.3,0.33333333333333337,0.8362420100070908,O(2),5,0,0.7058233137203573,0.8440419224027892,crossed_before_phase_uniform_pole
0.1,0.3,0.33333333333333337,0.8362420100070908,O(2),10,0,0.7630374979199275,0.9124601356890184,crossed_before_phase_uniform_pole
0.1,0.3,0.33333333333333337,0.8362420100070908,O(4),0.1,0,0.6194847665201537,0.740796036442729,crossed_before_phase_uniform_pole
0.1,0.3,0.33333333333333337,0.8362420100070908,O(4),1,0,0.7330660690785133,0.8766195195961244,crossed_before_phase_uniform_pole
0.1,0.3,0.33333333333333337,0.8362420100070908,O(4),5,0,0.7946945200481501,0.9503164281849601,crossed_before_phase_uniform_pole
0.1,0.3,0.33333333333333337,0.8362420100070908,O(4),10,0,0.8151639646295001,0.9747943237419848,crossed_before_phase_uniform_pole
0.1,0.3,0.33333333333333337,0.8362420100070908,O(6),0.1,0,0.7151958593205979,0.8552498568142176,crossed_before_phase_uniform_pole
0.1,0.3,0.33333333333333337,0.8362420100070908,O(6),1,0,0.7796828439173289,0.9323650744486249,crossed_before_phase_uniform_pole
0.1,0.3,0.33333333333333337,0.8362420100070908,O(6),5,0,0.8147607586741351,0.9743121595472422,crossed_before_phase_uniform_pole
0.1,0.3,0.33333333333333337,0.8362420100070908,O(6),10,0,0.8263452092831013,0.9881651476420019,crossed_before_phase_uniform_pole
0.15,0.05,2.9999999999999996,0.91003151038658,O(2),0.1,0,0.4368568257242584,0.4800458234008647,crossed_before_phase_uniform_pole
0.15,0.05,2.9999999999999996,0.91003151038658,O(2),1,0,0.6890972837103609,0.7572235420921122,crossed_before_phase_uniform_pole
0.15,0.05,2.9999999999999996,0.91003151038658,O(2),5,0,0.8217480051976174,0.9029885183300301,crossed_before_phase_uniform_pole
0.15,0.05,2.9999999999999996,0.91003151038658,O(2),10,0,0.8619589216400771,0.9471748085667037,crossed_before_phase_uniform_pole
0.15,0.05,2.9999999999999996,0.91003151038658,O(4),0.1,0,0.7583248663747142,0.8332951746391495,crossed_before_phase_uniform_pole
0.15,0.05,2.9999999999999996,0.91003151038658,O(4),1,0,0.8425442714442276,0.9258407668612663,crossed_before_phase_uniform_pole
0.15,0.05,2.9999999999999996,0.91003151038658,O(4),5,0,0.8836900773841809,0.9710543726214389,crossed_before_phase_uniform_pole
0.15,0.05,2.9999999999999996,0.91003151038658,O(4),10,0,0.8967236637889071,0.9853764991148276,crossed_before_phase_uniform_pole
0.15,0.05,2.9999999999999996,0.91003151038658,O(6),0.1,0,0.8305957704921989,0.9127110006766282,crossed_before_phase_uniform_pole
0.15,0.05,2.9999999999999996,0.91003151038658,O(6),1,0,0.8742201902816693,0.9606482636082588,crossed_before_phase_uniform_pole
0.15,0.05,2.9999999999999996,0.91003151038658,O(6),5,0,0.8966082708898467,0.9852496981219572,crossed_before_phase_uniform_pole
0.15,0.05,2.9999999999999996,0.91003151038658,O(6),10,0,0.903823013412929,0.9931777120871192,crossed_before_phase_uniform_pole
0.15,0.1,1.4999999999999998,0.8891084489487742,O(2),0.1,0,0.3712213690796216,0.4175209104339638,crossed_before_phase_uniform_pole
0.15,0.1,1.4999999999999998,0.8891084489487742,O(2),1,0,0.6371727759439819,0.7166423586429022,crossed_before_phase_uniform_pole
0.15,0.1,1.4999999999999998,0.8891084489487742,O(2),5,0,0.7861422774651012,0.884191662327117,crossed_before_phase_uniform_pole
0.15,0.1,1.4999999999999998,0.8891084489487742,O(2),10,0,0.8327498266739591,0.936612207046902,crossed_before_phase_uniform_pole
0.15,0.1,1.4999999999999998,0.8891084489487742,O(4),0.1,0,0.712161171305521,0.8009834707425574,crossed_before_phase_uniform_pole
0.15,0.1,1.4999999999999998,0.8891084489487742,O(4),1,0,0.8091971920904972,0.9101220363469057,crossed_before_phase_uniform_pole
0.15,0.1,1.4999999999999998,0.8891084489487742,O(4),5,0,0.8577852079234503,0.964770055821246,crossed_before_phase_uniform_pole
0.15,0.1,1.4999999999999998,0.8891084489487742,O(4),10,0,0.8733219112660819,0.9822445307978377,crossed_before_phase_uniform_pole
0.15,0.1,1.4999999999999998,0.8891084489487742,O(6),0.1,0,0.794826147154136,0.893958603243382,crossed_before_phase_uniform_pole
0.15,0.1,1.4999999999999998,0.8891084489487742,O(6),1,0,0.8463315476069314,0.9518878699303561,crossed_before_phase_uniform_pole
0.15,0.1,1.4999999999999998,0.8891084489487742,O(6),5,0,0.8730824817979222,0.9819752391625566,crossed_before_phase_uniform_pole
0.15,0.1,1.4999999999999998,0.8891084489487742,O(6),10,0,0.8817345300959804,0.9917063898543398,crossed_before_phase_uniform_pole
0.15,0.15,1,0.8695652173913044,O(2),0.1,0,0.32727843236791876,0.37637019722310655,crossed_before_phase_uniform_pole
0.15,0.15,1,0.8695652173913044,O(2),1,0,0.595192877267719,0.6844718088578767,crossed_before_phase_uniform_pole
0.15,0.15,1,0.8695652173913044,O(2),5,0,0.7547524162914855,0.8679652787352082,crossed_before_phase_uniform_pole
0.15,0.15,1,0.8695652173913044,O(2),10,0,0.8063050359356388,0.9272507913259845,crossed_before_phase_uniform_pole
0.15,0.15,1,0.8695652173913044,O(4),0.1,0,0.6735359211229336,0.7745663092913736,crossed_before_phase_uniform_pole
0.15,0.15,1,0.8695652173913044,O(4),1,0,0.7795283169915589,0.8964575645402927,crossed_before_phase_uniform_pole
0.15,0.15,1,0.8695652173913044,O(4),5,0,0.8340360733391713,0.9591414843400469,crossed_before_phase_uniform_pole
