m,in_phase_pole_u,approximation,error_threshold_pct,u_at_threshold,status_if_not_crossed
0.05,0.9523809523809523,O(2),0.1,0.5846175399466186,crossed_before_in_phase_pole
0.05,0.9523809523809523,O(2),1,0.8069588866264272,crossed_before_in_phase_pole
0.05,0.9523809523809523,O(2),5,0.8992129984768593,crossed_before_in_phase_pole
0.05,0.9523809523809523,O(2),10,0.9241615821641679,crossed_before_in_phase_pole
0.05,0.9523809523809523,O(4),0.1,0.857881360013704,crossed_before_in_phase_pole
0.05,0.9523809523809523,O(4),1,0.9126024905136576,crossed_before_in_phase_pole
0.05,0.9523809523809523,O(4),5,0.9372370467231886,crossed_before_in_phase_pole
0.05,0.9523809523809523,O(4),10,0.9447737861035546,crossed_before_in_phase_pole
0.05,0.9523809523809523,O(6),0.1,0.9053320082642283,crossed_before_in_phase_pole
0.05,0.9523809523809523,O(6),1,0.9317436381389451,crossed_before_in_phase_pole
0.05,0.9523809523809523,O(6),5,0.9447363144967356,crossed_before_in_phase_pole
0.05,0.9523809523809523,O(6),10,0.9488484767205881,crossed_before_in_phase_pole
0.1,0.9090909090909091,O(2),0.1,0.4205121581195263,crossed_before_in_phase_pole
0.1,0.9090909090909091,O(2),1,0.683359786167198,crossed_before_in_phase_pole
0.1,0.9090909090909091,O(2),5,0.8196731153088077,crossed_before_in_phase_pole
0.1,0.9090909090909091,O(2),10,0.8606005640212167,crossed_before_in_phase_pole
0.1,0.9090909090909091,O(4),0.1,0.7537099737866654,crossed_before_in_phase_pole
0.1,0.9090909090909091,O(4),1,0.8403812504831651,crossed_before_in_phase_pole
0.1,0.9090909090909091,O(4),5,0.8824082487222664,crossed_before_in_phase_pole
0.1,0.9090909090909091,O(4),10,0.8956613243013348,crossed_before_in_phase_pole
0.1,0.9090909090909091,O(6),0.1,0.8279294993424438,crossed_before_in_phase_pole
0.1,0.9090909090909091,O(6),1,0.8726584882026254,crossed_before_in_phase_pole
0.1,0.9090909090909091,O(6),5,0.8954953665158097,crossed_before_in_phase_pole
0.1,0.9090909090909091,O(6),10,0.9028294414159271,crossed_before_in_phase_pole
0.15,0.8695652173913044,O(2),0.1,0.32727843236791876,crossed_before_in_phase_pole
0.15,0.8695652173913044,O(2),1,0.595192877267719,crossed_before_in_phase_pole
0.15,0.8695652173913044,O(2),5,0.7547524162914855,crossed_before_in_phase_pole
0.15,0.8695652173913044,O(2),10,0.8063050359356388,crossed_before_in_phase_pole
0.15,0.8695652173913044,O(4),0.1,0.6735359211229336,crossed_before_in_phase_pole
0.15,0.8695652173913044,O(4),1,0.7795283169915589,crossed_before_in_phase_pole
0.15,0.8695652173913044,O(4),5,0.8340360733391713,crossed_before_in_phase_pole
0.15,0.8695652173913044,O(4),10,0.8516635539076528,crossed_before_in_phase_pole
0.15,0.8695652173913044,O(6),0.1,0.7633229750015411,crossed_before_in_phase_pole
0.15,0.8695652173913044,O(6),1,0.820956993275631,crossed_before_in_phase_pole
0.15,0.8695652173913044,O(6),5,0.8513186358792176,crossed_before_in_phase_pole
0.15,0.8695652173913044,O(6),10,0.8611914429872403,crossed_before_in_phase_pole
0.2,0.8333333333333334,O(2),0.1,0.2665325579455113,crossed_before_in_phase_pole
0.2,0.8333333333333334,O(2),1,0.5281269444103386,crossed_before_in_phase_pole
0.2,0.8333333333333334,O(2),5,0.7004186344337862,crossed_before_in_phase_pole
0.2,0.8333333333333334,O(2),10,0.7592133425023905,crossed_before_in_phase_pole
0.2,0.8333333333333334,O(4),0.1,0.6096336239751348,crossed_before_in_phase_pole
0.2,0.8333333333333334,O(4),1,0.7274447754375166,crossed_before_in_phase_pole
0.2,0.8333333333333334,O(4),5,0.7909985755373312,crossed_before_in_phase_pole
0.2,0.8333333333333334,O(4),10,0.8119934891963704,crossed_before_in_phase_pole
0.2,0.8333333333333334,O(6),0.1,0.708492602157415,crossed_before_in_phase_pole
0.2,0.8333333333333334,O(6),1,0.7752972318121422,crossed_before_in_phase_pole
0.2,0.8333333333333334,O(6),5,0.8114444453159371,crossed_before_in_phase_pole
0.2,0.8333333333333334,O(6),10,0.8233251724860666,crossed_before_in_phase_pole
